name, nr_of_swaps, nr_of_comparison, time_secondsselectSort, 100, 99, 4950, 0.000000
insertionSort, 1300, 423561, 422262, 0.001000
heapSort, 1300, 12362, 26024, 0.000000
quickSort, 1300, 8201, 14473, 0.000000
selectSort, 1400, 1399, 979300, 0.002000
insertionSort, 1400, 501037, 499638, 0.001000
heapSort, 1400, 13412, 28224, 0.001000
quickSort, 1400, 9139, 15369, 0.000000
selectSort, 1500, 1499, 1124250, 0.002000
insertionSort, 1500, 570615, 569116, 0.002000
heapSort, 1500, 14542, 30584, 0.000000
quickSort, 1500, 9416, 18033, 0.000000
selectSort, 1600, 1599, 1279200, 0.003000
insertionSort, 1600, 656888, 655289, 0.002000
heapSort, 1600, 15627, 32854, 0.000000
quickSort, 1600, 10098, 19984, 0.000000
selectSort, 1700, 1699, 1444150, 0.003000
insertionSort, 1700, 725690, 723991, 0.002000
heapSort, 1700, 16795, 35290, 0.000000
quickSort, 1700, 11883, 20729, 0.001000
selectSort, 1800, 1799, 1619100, 0.003000
insertionSort, 1800, 812485, 810686, 0.002000
heapSort, 1800, 17916, 37632, 0.001000
quickSort, 1800, 11374, 22869, 0.000000
selectSort, 1900, 1899, 1804050, 0.004000
insertionSort, 1900, 900870, 898971, 0.002000
heapSort, 1900, 18993, 39886, 0.000000
quickSort, 1900, 12802, 22970, 0.000000
selectSort, 2000, 1999, 1999000, 0.005000
insertionSort, 2000, 982497, 980498, 0.002000
heapSort, 2000, 20132, 42264, 0.001000
quickSort, 2000, 16533, 25172, 0.000000
selectSort, 2100, 2099, 2203950, 0.005000
insertionSort, 2100, 1123290, 1121191, 0.003000
heapSort, 2100, 21313, 44726, 0.000000
quickSort, 2100, 13869, 24917, 0.000000
selectSort, 2200, 2199, 2418900, 0.005000
insertionSort, 2200, 1214257, 1212058, 0.004000
heapSort, 2200, 22488, 47176, 0.000000
quickSort, 2200, 16900, 27897, 0.000000
selectSort, 2300, 2299, 2643850, 0.006000
insertionSort, 2300, 1313752, 1311453, 0.003000
heapSort, 2300, 23687, 49674, 0.001000
quickSort, 2300, 14285, 26572, 0.000000
selectSort, 2400, 2399, 2878800, 0.006000
insertionSort, 2400, 1472747, 1470348, 0.004000
heapSort, 2400, 24834, 52068, 0.001000
quickSort, 2400, 15167, 33856, 0.000000
selectSort, 2500, 2499, 3123750, 0.006000
insertionSort, 2500, 1594051, 1591552, 0.005000
heapSort, 2500, 26022, 54544, 0.000000
quickSort, 2500, 17081, 30924, 0.000000
selectSort, 2600, 2599, 3378700, 0.008000
insertionSort, 2600, 1711802, 1709203, 0.004000
heapSort, 2600, 27265, 57130, 0.001000
quickSort, 2600, 18341, 33037, 0.000000
selectSort, 2700, 2699, 3643650, 0.008000
insertionSort, 2700, 1843005, 1840306, 0.005000
heapSort, 2700, 28476, 59652, 0.000000
quickSort, 2700, 21028, 36817, 0.000000
selectSort, 2800, 2799, 3918600, 0.009000
insertionSort, 2800, 1935851, 1933052, 0.005000
heapSort, 2800, 29702, 62204, 0.000000
quickSort, 2800, 22125, 40262, 0.001000
selectSort, 2900, 2899, 4203550, 0.009000
insertionSort, 2900, 2113385, 2110486, 0.005000
heapSort, 2900, 30820, 64540, 0.001000
quickSort, 2900, 22381, 39485, 0.000000
selectSort, 3000, 2999, 4498500, 0.009000
insertionSort, 3000, 2273513, 2270514, 0.006000
heapSort, 3000, 32048, 67096, 0.001000
quickSort, 3000, 19352, 36946, 0.000000
selectSort, 3100, 3099, 4803450, 0.010000
insertionSort, 3100, 2361969, 2358870, 0.006000
heapSort, 3100, 33304, 69708, 0.001000
quickSort, 3100, 22360, 39780, 0.000000
selectSort, 3200, 3199, 5118400, 0.011000
insertionSort, 3200, 2596545, 2593346, 0.007000
heapSort, 3200, 34416, 72032, 0.001000
quickSort, 3200, 23678, 42116, 0.000000
selectSort, 3300, 3299, 5443350, 0.012000
insertionSort, 3300, 2691806, 2688507, 0.007000
heapSort, 3300, 35749, 74798, 0.001000
quickSort, 3300, 24520, 44195, 0.000000
selectSort, 3400, 3399, 5778300, 0.012000
insertionSort, 3400, 2853930, 2850531, 0.008000
heapSort, 3400, 36891, 77182, 0.000000
quickSort, 3400, 27919, 45382, 0.001000
selectSort, 3500, 3499, 6123250, 0.012000
insertionSort, 3500, 3039278, 3035779, 0.008000
heapSort, 3500, 38169, 79838, 0.001000
quickSort, 3500, 21732, 43416, 0.000000
selectSort, 3600, 3599, 6478200, 0.014000
insertionSort, 3600, 3290059, 3286460, 0.008000
heapSort, 3600, 39366, 82332, 0.001000
quickSort, 3600, 24455, 46866, 0.000000
selectSort, 3700, 3699, 6843150, 0.014000
insertionSort, 3700, 3496245, 3492546, 0.010000
heapSort, 3700, 40704, 85108, 0.000000
quickSort, 3700, 27648, 50669, 0.001000
selectSort, 3800, 3799, 7218100, 0.015000
insertionSort, 3800, 3561099, 3557300, 0.009000
heapSort, 3800, 41826, 87452, 0.001000
quickSort, 3800, 31981, 56130, 0.000000
selectSort, 3900, 3899, 7603050, 0.015000
insertionSort, 3900, 3795336, 3791437, 0.010000
heapSort, 3900, 43143, 90186, 0.001000
quickSort, 3900, 29327, 53991, 0.000000
selectSort, 4000, 3999, 7998000, 0.017000
insertionSort, 4000, 4017357, 4013358, 0.011000
heapSort, 4000, 44262, 92524, 0.000000
quickSort, 4000, 26044, 52474, 0.001000
selectSort, 4100, 4099, 8402950, 0.017000
insertionSort, 4100, 4154476, 4150377, 0.011000
heapSort, 4100, 45659, 95418, 0.001000
quickSort, 4100, 28913, 53697, 0.001000
selectSort, 4200, 4199, 8817900, 0.018000
insertionSort, 4200, 4391678, 4387479, 0.012000
heapSort, 4200, 46741, 97682, 0.000000
quickSort, 4200, 29459, 54951, 0.001000
selectSort, 4300, 4299, 9242850, 0.020000
insertionSort, 4300, 4651214, 4646915, 0.012000
heapSort, 4300, 48087, 100474, 0.001000
quickSort, 4300, 32027, 56535, 0.000000
selectSort, 4400, 4399, 9677800, 0.021000
insertionSort, 4400, 4810351, 4805952, 0.013000
heapSort, 4400, 49366, 103132, 0.001000
quickSort, 4400, 31770, 60905, 0.000000
selectSort, 4500, 4499, 10122750, 0.022000
insertionSort, 4500, 5041100, 5036601, 0.013000
heapSort, 4500, 50595, 105690, 0.001000
quickSort, 4500, 32305, 67143, 0.000000
selectSort, 4600, 4599, 10577700, 0.023000
insertionSort, 4600, 5342630, 5338031, 0.014000
